department,job_title,salary,nb_months
CLA - Music Department,Associate Professor,84465,9
XUS - OSU Global Opportunities,Resident Dir-Poitiers France,52500,12
ASC - An/RngSci Extn Field Fac,Faculty Research Assistant,59028,12
ACS - Crop and Soil Science,Assistant Professor,75600,9
HHS - EXT 4-H YouthDev OffCmps,4-H & FCH Educator,49500,12
YIA - Intercolleg Athletics,Assoc AD/CFO-Athletics,97344,12
ZSS - Univ Shared Svcs Entrprs,Dir Financial Reporting Svcs,123912,12
SMB - Microbiology (Science),Senior Instructor II,94392,12
AHT - Horticltr Extn Field Fac,Associate Professor,95700,12
RIP - VP for Research,Officer-Diving Safety,83496,12
YIA - Intercolleg Athletics,Assoc AD-Facilities/Event Mgmt,87564,12
QFA - Human Resources-Central,Consultant-Benefits,45e3,12
***Change to 104000 eff 7/1/19,Director ÿ Ecampus OER,88008,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,40572,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,54072,12
ANW - North Willamette Exp Sta,Assistant Professor,75330,9
XEM - Admissions,Director,140004,12
CLA - Sch of Wrtg Lit & Film,Assistant Professor,63027,9
ATX - Enviro / Molecular Toxic,Associate Professor,110028,12
ATX - Enviro / Molecular Toxic,Associate Professor (Practice),77364,12
"OAS - Earth, Ocean & Atmo Sci",Assistant Professor,97008,12
QFA - Human Res BC Ops - FOBC,Human Resources Consultant 1,48276,12
MSA - International Services,Advisor- International Scholar,45576,12
VMD - Veterinary Medicine,Coord-Acad & Student Services,54924,12
DAA - Faculty Affairs Admin,Dir-University Accreditation,112320,12
SCH - Chemistry,Senior Instructor I,75072,12
AFW - Fisheries and Wildlife,Faculty Research Assistant,30900,12
SZO - Integrative Biology,Assistant Professor,81783,9
CLA - School of Public Policy,Associate Professor,90306,9
AGA - College of Ag Admin,Reg & Safety Compliance Ofc,70764,12
ESE - Sch Elect Engr/Comp Sci,Distinguished Professor,185832,9
UPR - Office of the President,Exective Director - UIA,196848,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,40596,12
ACS - Crop/Soil Sci Extension,Specialist 2-Seed Cert 2,73896,12
AFW - Fish/Wild Extn Field Fac,Associate Professor,79656,12
ASU - Southern Oregon Exp Sta,Administrative Assistant,54732,12
XUS - Academic Success &Engage,Professor,99531,9
ABP - Ag Botany / Plant Path,Assistant Professor,82764,9
CLA - Speech Communication,Senior Instructor I,54819,9
HHS - EXT 4-H YouthDev OffCmps,Associate Professor,81504,12
QFA - Human Res BC Ops - UABC,Human Resources Consultant 1,44244,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,53052,12
KED - College of Education,Professor,130005,9
MHD - Univ Housing and Dining,Asst Dir-Divert Intves & Prog,61800,12
TEE - Professional & Cont Educ,Asst Dir Mktg & Enrollmt Svcs,81120,12
YIA - Intercolleg Athletics,Director-Video,57336,12
CLA - School of Public Policy,Project Mgr- OREGON ST ADVANCE,81120,12
KED - College of Education,PTE-MS Coordinator,61800,12
BUS - College of Business Dept,Advisor-Academic,50520,12
ENS - Sch Nuclear Sci & Engr,Assistant Professor (Sr Res.),106116,12
MRS - Recreational Sports,Coord-Wellness Education,54864,12
MHD - Univ Housing and Dining,Supervisor-Custodial Ops,59424,12
MSH - Student Health Services,Student Engagement Specialist,65172,12
MRS - Recreational Sports,Assoc Dir-Fac & Risk Mgmt,85956,12
XMS - Marine Studies Initiatv,Outreach Coordinator,62916,12
"OAS - Earth, Ocean & Atmo Sci",Res Prog Oper Officer,117636,12
EMM - Sch of Mech/Ind/Mfg Engr,Associate Professor,110160,9
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,43680,12
"OAS - Earth, Ocean & Atmo Sci",Professor,129834,9
CLA - Sch of Hist Phil & Rel,Professor,92412,9
QFA - Budget / Fiscal Planning,Analyst Budg Res Plan,59004,12
EMM - Sch of Mech/Ind/Mfg Engr,Professor,140706,9
QFA - Human Resources-Central,Analyst-HR Technical,68568,12
EMM - Sch of Mech/Ind/Mfg Engr,Instructor,78048,12
TEX - Ext Washington Co Office,Asst to Regional Director,63e3,12
YIA - Intercolleg Athletics,Assoc Coach-Strength & Cond,9e4,12
YIA - Intercolleg Athletics,Head Coach-Baseball,3e5,12
EMM - Sch of Mech/Ind/Mfg Engr,Professor,156330,9
ESE - Sch Elect Engr/Comp Sci,Assistant Professor,95004,9
XPV - Provost / Exec Vice Pres,Senior Vice Provost-Acad Aff,248940,12
TEX - Extension Service Admin,Coord-RCE Program/Special Proj,45912,12
HHS - Faculty/Staff Fitness,FSF Instructor,51984,12
FOR - Wood Science / Engr,Senior Faculty Research Asst I,64380,12
MSA - Vice Prov / Student Aff,DirectorYouthSafety&Compliance,83004,12
HHS - Sch of Bio/Pop Hlth Sci,Professor,114057,9
ATX - Enviro / Molecular Toxic,Senior Faculty Research Asst I,62280,12
LCB - Acad Prog / Student Aff,Internship & Employment Coord,50112,12
CLA - Liberal Arts Admin,Specialist-Communications,68508,12
YIA - Intercolleg Athletics,Asst AD-Marketing/Fan Engage,64896,12
CLA - Music Department,Senior Instructor I,54513,9
FOR - College Forests,Mgr-Business,69864,12
CLA - Music Department,Professor,122661,9
HHS - EXT 4-H YouthDev OffCmps,"Coord-4H Program, Clatsop",60228,12
XEM - Pre-College Programs,Director-GEAR UP,98844,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,47844,12
HHS - Sch of Bio/Pop Hlth Sci,Associate Professor,93627,9
"CLA - Sch Lang, Culture & Soc",Assistant Professor,63333,9
LCB - Acad Prog / Student Aff,Dir-MFA-Creative Writing,85260,12
AHE - Hermiston Exp Sta,Administrative Assistant,53712,12
RSG - Sea Grant,Marine Ed Coord,49008,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,44724,12
CLA - Sch of Hist Phil & Rel,Professor,93168,9
MUN - Retail Food Service,Mgr-Retail Food Service,50076,12
RDR - Ctr Excellnce Genome Res,Research- Sequencing,41616,12
SPH - Physics,Office Manager,58272,12
RIP - VP for Research,Professor,146673,9
BUS - College of Business Dept,Prog-Mngr Student Engagement,55620,12
JIS - Academic Technologies,Assoc Dir of Media Services,89556,12
HHS - EXT Fam/CommHlth OffCmps,Associate Professor,102228,12
YIA - Intercolleg Athletics,Sr Assoc AD/Special Asst to AD,24e4,12
***Change to 104000 eff 7/1/19,Coach-Student Success,54768,12
UPR - Office of the President,Exec Asst to General Counsel,73008,12
ACS - Crop and Soil Science,Senior Instructor II,76812,12
AMC - Mid-Columbia Exp Sta,Associate Professor,82848,12
DLB - Library,Assistant Professor,56508,12
JIS - Inst Analytcs & Reportng,Director-Institutional Resrch,158292,12
PHR - Pharmacy Professnl Instr,Assistant Professor (Clinical),106920,12
HHS - Sch of Soc/Bhav Hlth Sci,Professor,156735,9
ZSS - Univ Shared Svcs Entrprs,USSE Dir of Labor Relations,163116,12
***Change to 104000 eff 7/1/19,"Assistant Director, Web and IT",109872,12
HHS - Public Hlth/HumanSci Adm,Academic Advisor,47004,12
KED - College of Education,Assistant Professor (Clinical),69588,12
HHS - Faculty/Staff Fitness,FSF Instructor,49920,12
MHD - Dining Centers,Sous Chef,46416,12
VMD - Veterinary Medicine,Dept Chair - Clinical Sciences,197544,12
XEM - AssocProv Enrollmnt Mgmt,Mgr-Student Services Transfer,47004,12
"OAS - Earth, Ocean & Atmo Sci",Research Associate,65484,12
DLB - Library,D&D Campbell Univ Librarian,204924,12
AHT - Horticulture,Research Associate (Post Doc),50652,12
JIS - Entrprse Computing Svcs,Assoc Dir-Admini Computing,97608,12
MGV - ASOSU,Associate Student Advocate,56004,12
VMD - Veterinary Medicine,Exec Asst to the Dean,61764,12
SZO - Integrative Biology,Associate Professor (Sr Res),95100,12
RSG - Sea Grant Extension,Assistant Professor(Extension),89220,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,48876,12
HHS - Sch of Soc/Bhav Hlth Sci,Assistant Professor,83871,9
ECB - Sch of Chem/Bio/Envr Eng,Professor,154530,9
ABP - Ag Botany / Plant Path,Associate Professor,109656,9
BUS - College of Business Dept,Assistant Professor,114435,9
ABE - Biol & Ecol Engineering,Associate Professor,137124,12
YIA - Intercolleg Athletics,Assoc HC-Women’s Gymnastics,92232,12
YIA - Intercolleg Athletics,Head Coach-Women’s Gymnastics,170004,12
CLA - Sch of Hist Phil & Rel,Associate Professor,85824,9
AKL - Klamath Basin Res&ExtCtr,Interim Director,131820,12
PHR - Pharmacy Professnl Instr,Professor (Clinical),165e3,12
HHS - Public Hlth/HumanSci Adm,Mgr-CPHHSGradRecruit&Admission,60876,12
ACS - Crop and Soil Science,Professor,115380,12
YIA - Intercolleg Athletics,Asst Coach-Women’s Basketball,177852,12
ESE - Sch Elect Engr/Comp Sci,Instructor,9e4,12
"CLA - Sch Lang, Culture & Soc",Senior Instructor II,66519,9
BUS - College of Business Dept,Associate Professor,98703,9
BUS - College of Business Dept,Associate Professor,142128,9
ESE - Sch Elect Engr/Comp Sci,Assistant Professor,107001,9
ENS - Sch Nuclear Sci & Engr,Assistant Professor,94005,9
AAR - Applied Economics,Associate Professor,106245,9
ESE - Sch Elect Engr/Comp Sci,Assistant Professor,107073,9
ACT - Central Oregon Exp Sta,Research Associate (Post Doc),48936,12
SCH - Chemistry,Associate Professor,119070,9
ASC - Animal & Rnglnd Sciences,Professor,127152,12
"OAS - Earth, Ocean & Atmo Sci",Senior Faculty Research AsstII,73224,12
QUB - Dept of Public Safety,Compliance Officer,65400,12
RMS - Hatfield Marine Sci Ctr,Senior Instructor I,79344,12
AKL - Klamath Basin Res&ExtCtr,Farm/Facilities Manager,55392,12
"CLA - Sch Lang, Culture & Soc",Associate Professor,87219,9
HHS - Sch of Bio/Pop Hlth Sci,Professor,115947,9
ESE - Sch Elect Engr/Comp Sci,Associate Professor,123489,9
TEX - Ext Marion County Office,Administrative Office Manager,55008,12
QBC - AgSci/Marine BusinessCtr,Finance Coordinator,66432,12
ZSS - Univ Shared Svcs Entrprs,Payroll Systems Coordinator,79800,12
GRD - Graduate School Admin,Administrative Assistant To,60084,12
MHD - Univ Housing and Dining,Asst Dir-Std Cond & Com Sr,79584,12
BUS - College of Business Dept,Associate Professor,149760,9
BUS - College of Business Dept,Assistant Professor,134901,9
RDR - Linus Pauling Institute,Research Associate,72036,12
JIS - Academic Technologies,Assoc Dir-Technical Services,88008,12
XEM - Office of the Registrar,ExecAsst-AssocProv&Registrar,69348,12
QFA - Human Res BC Ops - HSBC,Human Resources Consultant 2,6e4,12
SZO - Integrative Biology,Instructor,62004,12
HHS - Sch of Soc/Bhav Hlth Sci,Research Associate (Post Doc),50340,12
SZO - Integrative Biology,Senior Faculty Research Asst I,46440,12
AHT - Horticulture,Faculty Research Assistant,50004,12
PHR - Pharmacy Professnl Instr,Professor,124839,9
FOR - Ext Forestry OFF Campus,Assistant Professor (Practice),58452,12
SCH - Chemistry,Admin Assistant to Chair,60780,12
RIP - VP for Research,Senior I.P. & License Mgr,93012,12
MSA - International Services,International Student Advisor,48540,12
HHS - Sch of Soc/Bhav Hlth Sci,Instructor,56112,12
"OAS - Earth, Ocean & Atmo Sci",Director-Undergrad Stud Servs,66276,12
FOR - Forest Eng/Resourcs/Mgmt,Professor,128088,9
MRS - Recreational Sports,ALI Instructor,46812,12
MRS - Recreational Sports,Coord-Climbing & Wilderness,52764,12
"OAS - Earth, Ocean & Atmo Sci",Professor,134544,12
KED - College of Education,Associate Professor,81990,9
SCI - College of Science Admin,Coordinator-Comm&Mktg,68004,12
PHR - Pharmacy Professnl Instr,Mgr-Pharmacy DMAP Program,143100,12
ABP - Ag Botany / Plant Path,Faculty Research Assistant,44100,12
RDR - AdvTech&MftgInst (ATAMI),ATAMI Fac and Bus Ops Mgr,75e3,12
AFW - Fisheries and Wildlife,Senior Faculty Research Asst I,39228,12
ZSS - Univ Shared Svcs Entrprs,Treasury Manager,92700,12
PHR - Pharmacy Professnl Instr,Dir-Alumni Relations/Prof Dev,128760,12
GRD - Graduate School Admin,IT Project Coordinator,101976,12
"OAS - Earth, Ocean & Atmo Sci",Distinguished Professor,181485,9
SMT - Mathematics,Academic Advisor,48372,12
NIA - VP Univ Relations & Mktg,Vice President,297084,12
QFS - Facilities Ops & Maint,MGR-Acces/Building Controls,85980,12
"OAS - Earth, Ocean & Atmo Sci",Faculty Research Assistant,45e3,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,43668,12
RDR - Lab Animal Resources,Supervisor-LARC,50616,12
FOR - Wood Science / Engr,Senior Faculty Research Asst I,69684,12
AFS - Food Science and Techno,Mgr-Pilot Plant,92100,12
MRS - Recreational Sports,Sr.Asst Dir-Outreach & Assess.,83388,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,42648,12
ESE - Sch Elect Engr/Comp Sci,Mgr-Software Dev & Quality,95892,12
CLA - Sch of Hist Phil & Rel,Professor,96120,9
HHS - Sch of Bio/Pop Hlth Sci,Associate Professor,96111,9
XPV - Provost / Exec Vice Pres,Senior Assoc Dean-AcademicProg,213996,12
RIP - VP for Research,Senior Fiscal Officer,84156,12
ECB - Sch of Chem/Bio/Envr Eng,Research Associate,71304,12
MSA - Vice Prov / Student Aff,Director Stu Aff Assessment,100008,12
ATX - Enviro / Molecular Toxic,Faculty Research Assistant,43008,12
MSA - Academic Success Center,Coord-Acad Supp Initiatives,58152,12
LCB - Community Relatns/Admin,Dir-Communications & Outreach,87948,12
ABE - Biol & Ecol Engineering,Administrative Assistant To,65004,12
JIS - Client Services,Help Desk Supervisor,78024,12
FOR - Forest Ecosyst & Society,Research Associate,114120,12
FOR - Forest Ecosyst & Society,Faculty Research Assistant,50616,12
"OAS - Earth, Ocean & Atmo Sci",Senior Faculty Research Asst I,84036,12
UPR - OSU Board of Trustees,Secretary of the Board,158256,12
FOR - Forest Eng/Resourcs/Mgmt,Senior Faculty Research Asst I,83220,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,36432,12
AFS - Food Science and Techno,Asst Professor of Practice,79728,12
RIP - VP for Research,Coord-IRB,60420,12
ECC - Sch of Civil/Constr Engr,Assistant Professor,95931,9
QCP - Capital Planning & Devlp,Infrastructure Project Mgr,89736,12
FOR - College of Forestry Adm,Dir-Marketing & Communications,92172,12
VMD - Veterinary Medicine,Coord-Student Services,51900,12
TEE - Professional & Cont Educ,Specialist 2-Mktg & Reserarch,60804,12
QUB - Dept of Public Safety,Compliance Officer,64596,12
RSG - Sea Grant Extension,Office Manager 1,59748,12
KED - College of Education,Assistant Professor,80712,9
AFC - Food Innovation Center,Senior Faculty Research AsstII,118224,12
ACS - Crop and Soil Science,Faculty Research Assistant,41004,12
NLS - Conference Services,Mgr-Evening & Weekend Events,49068,12
"OAS - Earth, Ocean & Atmo Sci",Professor,133380,12
OAS - Ship Operations,Rep-Shipyard,192828,12
LCB - Acad Prog / Student Aff,Advisor-Academic/International,45e3,12
"OAS - Earth, Ocean & Atmo Sci",Research Associate,68316,12
VBS - Vet Biomedical Science,Research Associate (Post Doc),42e3,12
ECB - Sch of Chem/Bio/Envr Eng,Head Undergrad Advisor,58500,12
ESE - Sch Elect Engr/Comp Sci,Professor,161523,9
XEM - Office of Scholarships,Director of Scholarships,115008,12
SBB - Biochem / Biophysics,Senior Faculty Research Asst I,55476,12
LCB - Acad Prog / Student Aff,Coord-Campus Recreation Progrm,46500,12
YIA - Intercolleg Athletics,Dir - Facilities & Ops,6e4,12
AHT - Horticulture,Associate Professor,90009,9
RSG - Sea Grant Extension,Dir-MRM Program,159888,12
YIA - Intercolleg Athletics,Asst Coach-Football,200004,12
SBB - Biochem / Biophysics,Assistant Professor (Sr Res),75792,12
VCS - Vet Clinical Sciences,Assistant Professor (Clinical),141636,12
AIP - Integrtd Plant Prot (Ag),Assistant Professor (Practice),92964,12
ABP - Ag Botany / Plant Path,Research Associate,53676,12
RSG - Sea Grant,Assoc-Communications,75888,12
ECC - Sch of Civil/Constr Engr,Administrative Assistant To,56124,12
MHD - Dining Centers,Procurement & Business Sys Mgr,65232,12
"OAS - Earth, Ocean & Atmo Sci",Associate Professor (Sr Res),91980,12
RSG - Sea Grant Extension,Associate Professor,86928,12
TEX - Ext Douglas County Offc,Administrative Office Manager,6e4,12
MSA - Career Development Ctr,Assist Dir-Career Development,62004,12
MHD - Univ Housing and Dining,Supervisor - Cust. Ops.,53004,12
MSA - Coll Assistnc Migrnt Prg,Academic Counselor-CAMP,45336,12
PHR - Pharmacy Professnl Instr,Consultant-Academic Advisor,51300,12
QFS - Facilities Ops & Maint,Supervisor-Landscape,72756,12
ESE - Sch Elect Engr/Comp Sci,Associate Professor,121113,9
RMS - Hatfield Marine Sci Ctr,Director,254616,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,39516,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,45768,12
ACS - Crop/Soil Sci Extension,Office Manager,43704,12
ECC - Sch of Civil/Constr Engr,Professor,157086,9
SMT - Mathematics,Associate Professor,84798,9
YIA - Intercolleg Athletics,Assoc HC-Men’s Soccer,67008,12
MHD - Univ Housing and Dining,Assoc. Dir-Assessment,104604,12
AMB - Microbiology (Ag),Faculty Research Assistant,39492,12
CLA - School of Public Policy,Associate Professor,98658,9
YIA - Intercolleg Athletics,Asst Dir-Athletic Comm,49848,12
AGA - College of Ag Admin,Advisor-Academic,62868,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,37476,12
YIA - Intercolleg Athletics,Asst Dir-Ticket Operations,36228,12
HHS - Hlth Hum Sci SW Outreach,Motorcycle Safety Instructor,54084,12
MSA - Academic Success Center,Director-Acad Success Center,84480,12
FOR - Forestry & Natrl Res Ext,Associate Professor(Extension),116820,12
RIP - VP for Research,Fiscal Director,133920,12
RNR - INR-Or Biodvrsty InfoCtr,Research Associate,69180,12
"OAS - Earth, Ocean & Atmo Sci",Assistant Professor,97692,12
RSG - Sea Grant Extension,Marine Ed Manager,85788,12
KED - College of Education,Professor,100953,9
BUS - College of Business Dept,Asst Director of Empl Relation,64500,12
MSA - Acad Svcs Stdnt Athletes,Learning Specialist I,47400,12
XPV - Provost / Exec Vice Pres,Administrative Assistant,58236,12
ATX - Enviro / Molecular Toxic,Project Coordinator,56364,12
AAR - Applied Economics,Assistant Professor (Sr Res),102e3,12
XEM - Enrollment Mgmt InfoTech,Mgr-Web Services,88140,12
AFW - Fisheries and Wildlife,Senior Faculty Research Asst I,52428,12
HHS - EXT Fam/CommHlth OnCmps,Coord-FCH Administrative,54360,12
ASC - An/RngSci Extn Field Fac,Assistant Professor (Practice),73356,12
SZO - Integrative Biology,Faculty Research Assistant,44004,12
"OAS - Earth, Ocean & Atmo Sci",Professor,140124,12
CLA - Sch of Psychological Sci,Assistant Professor,74754,9
TOS - Outdoor School,ODS Regional Coordinator,56004,12
XUS - OSU Global Opportunities,Consultant-International Prog,51432,12
AGA - College of Ag Admin,Administrative Manager,57888,12
WHC - Univ Honors College,Director-UHC Admissions & Comm,59628,12
BUS - College of Business Dept,Assist to Assoc Dean,49920,12
"CLA - Sch Lang, Culture & Soc",Senior Instructor I,56232,9
VCS - Vet Clinical Sciences,Assistant Professor (Clinical),128184,12
ACS - Crop and Soil Science,Supv-Farm Unit,128412,12
***Change to 104000 eff 7/1/19,Academic Programs Manager,64584,12
